"","year","dem_2p","district","state"
"1",2020,0.447381512761507,"1","AK"
"2",2018,0.463348933190846,"1","AK"
"3",2016,0.41563069041631,"1","AK"
"4",2020,0.357017045103395,"1","AL"
"5",2018,0.39400144039125,"1","AL"
"6",2016,0.349503964848443,"1","AL"
"7",2020,0.348522061837327,"2","AL"
"8",2018,0.354844322227739,"2","AL"
"9",2016,0.330203339967119,"2","AL"
"10",2020,0.328268302815326,"3","AL"
"11",2018,0.354899998228489,"3","AL"
"12",2016,0.321964727117207,"3","AL"
"13",2020,0.188029435610379,"4","AL"
"14",2018,0.251830029971137,"4","AL"
"15",2016,0.185963548534862,"4","AL"
"16",2020,0.363083674127169,"5","AL"
"17",2018,0.385601717746673,"5","AL"
"18",2016,0.326388517333505,"5","AL"
"19",2020,0.346058191615525,"6","AL"
"20",2018,0.378516441651935,"6","AL"
"21",2016,0.297274718624401,"6","AL"
"22",2020,0.664611054647799,"7","AL"
"23",2018,0.682096871901129,"7","AL"
"24",2016,0.659748242327285,"7","AL"
"25",2020,0.289254743618298,"1","AR"
"26",2018,0.287335509413095,"1","AR"
"27",2016,0.316610268110061,"1","AR"
"28",2020,0.432610921922811,"2","AR"
"29",2018,0.378720567733334,"2","AR"
"30",2016,0.420051723059169,"2","AR"
"31",2020,0.379297085552042,"3","AR"
"32",2018,0.329318841016068,"3","AR"
"33",2016,0.34486565142126,"3","AR"
"34",2020,0.318783105179886,"4","AR"
"35",2018,0.304206100790843,"4","AR"
"36",2016,0.34071299433805,"4","AR"
"37",2020,0.504624145264939,"1","AZ"
"38",2018,0.410871032054981,"1","AZ"
"39",2016,0.475011552056266,"1","AZ"
"40",2020,0.461743820294075,"2","AZ"
"41",2018,0.402307402016281,"2","AZ"
"42",2016,0.445910955856333,"2","AZ"
"43",2020,0.765629949043949,"3","AZ"
"44",2018,0.716785442713399,"3","AZ"
"45",2016,0.780952532425705,"3","AZ"
"46",2020,0.557964613775244,"4","AZ"
"47",2018,0.471803245142092,"4","AZ"
"48",2016,0.519176065888268,"4","AZ"
"49",2020,0.418281092875186,"5","AZ"
"50",2018,0.348155479795203,"5","AZ"
"51",2016,0.385151320757781,"5","AZ"
"52",2020,0.502021823883835,"6","AZ"
"53",2018,0.420930413116976,"6","AZ"
"54",2016,0.472796860280392,"6","AZ"
"55",2020,0.680252019731141,"7","AZ"
"56",2018,0.633720437399339,"7","AZ"
"57",2016,0.697580754596132,"7","AZ"
"58",2020,0.430896804182966,"8","AZ"
"59",2018,0.347112457211364,"8","AZ"
"60",2016,0.397827020592069,"8","AZ"
"61",2020,0.364486367567018,"9","AZ"
"62",2018,0.300168032238398,"9","AZ"
"63",2016,0.338543942490662,"9","AZ"
"64",2020,0.403012348740476,"1","CA"
"65",2018,0.366898455530577,"1","CA"
"66",2016,0.383191802577286,"1","CA"
"67",2020,0.754304393227788,"2","CA"
"68",2018,0.720459065547113,"2","CA"
"69",2016,0.746893094517333,"2","CA"
"70",2020,0.49294905443557,"3","CA"
"71",2018,0.441459778075505,"3","CA"
"72",2016,0.459437659898925,"3","CA"
"73",2020,0.691324166422145,"4","CA"
"74",2018,0.650234238760973,"4","CA"
"75",2016,0.688345645165385,"4","CA"
"76",2020,0.437643857422505,"5","CA"
"77",2018,0.40655685777637,"5","CA"
"78",2016,0.41913749908788,"5","CA"
"79",2020,0.595417877952706,"6","CA"
"80",2018,0.55563384876362,"6","CA"
"81",2016,0.592232132095938,"6","CA"
"82",2020,0.691200278580462,"7","CA"
"83",2018,0.655338940543946,"7","CA"
"84",2016,0.706959313891388,"7","CA"
"85",2020,0.780441404121154,"8","CA"
"86",2018,0.753814545694441,"8","CA"
"87",2016,0.79973221117062,"8","CA"
"88",2020,0.567375465125779,"9","CA"
"89",2018,0.517497331910352,"9","CA"
"90",2016,0.572198238646175,"9","CA"
"91",2020,0.701243664326665,"10","CA"
"92",2018,0.63932075525009,"10","CA"
"93",2016,0.692715742772406,"10","CA"
"94",2020,0.88065979252005,"11","CA"
"95",2018,0.869537740647687,"11","CA"
"96",2016,0.906559181331741,"11","CA"
"97",2020,0.913461350081305,"12","CA"
"98",2018,0.906459252000653,"12","CA"
"99",2016,0.932087623378027,"12","CA"
"100",2020,0.561483475632572,"13","CA"
"101",2018,0.530376064532449,"13","CA"
"102",2016,0.574359603208922,"13","CA"
"103",2020,0.731859538553929,"14","CA"
"104",2018,0.696238154321987,"14","CA"
"105",2016,0.749767680063439,"14","CA"
"106",2020,0.791991061345698,"15","CA"
"107",2018,0.762551060745816,"15","CA"
"108",2016,0.811998738397765,"15","CA"
"109",2020,0.776080273495091,"16","CA"
